委託時間,UID,委託單號,倉位單號,合約類型,交易對,方向,槓桿,訂單類型,委託價格,已成交數量,委託狀態,手續費,成交均價,成交金額,取消時間,成交時間
2024-07-05T13:44:23+08:00,OOOOOOOG,449058412126208,449058412126208,得勁合約,BTCUSDT,空,1000,市價開倉,0,0.07075,已成交,0,54361.83691,3846.099962,--,2024-07-05T13:44:23+08:00
2024-07-05T13:44:26+08:00,OOOOOOOG,449068738502656,449068738502656,得勁合約,BTCUSDT,多,1000,市價開倉,0,0.070751,已成交,0,54361.16308,3846.106649,--,2024-07-05T13:44:26+08:00
2024-07-05T13:44:40+08:00,OOOOOOOG,449126879944704,449126879944704,普通合約,BTCUSDT,多,100,市價開倉,0,0.008841,已成交,0.09615306,54379.06314,480.7652972,--,2024-07-05T13:44:40+08:00
2024-07-05T13:44:42+08:00,OOOOOOOG,449138014212096,449138014212096,普通合約,BTCUSDT,空,100,市價開倉,0,0.008841,已成交,0.09615266,54378.83686,480.7632967,--,2024-07-05T13:44:42+08:00
2024-07-05T13:45:30+08:00,OOOOOOOG,86951755042816,449058412126208,得勁合約,BTCUSDT,空,1000,強制平倉,54412.66617,0.07075,已成交,1.15490884,54412.66617,3849.696132,--,2024-07-05T13:45:30+08:00
2024-07-05T13:47:29+08:00,OOOOOOOG,449836915281920,449068738502656,得勁合約,BTCUSDT,多,1000,市價平倉,54497.7,0.070751,已成交,1.45443815,54497.86349,3855.77834,--,2024-07-05T13:47:29+08:00
2024-07-05T13:47:35+08:00,OOOOOOOG,449860618903552,449126879944704,普通合約,BTCUSDT,多,100,市價平倉,54499.9,0.008841,已成交,0.09636702,54500.0635,481.8350614,--,2024-07-05T13:47:35+08:00
2024-07-05T13:47:35+08:00,OOOOOOOG,449860618903553,449138014212096,普通合約,BTCUSDT,空,100,市價平倉,54499.9,0.008841,已成交,0.09636644,54499.7365,481.8321704,--,2024-07-05T13:47:35+08:00
2024-07-05T14:26:16+08:00,OOOOOOOR,459595690762240,459595690762240,得勁合約,BTCUSDT,空,1000,市價開倉,0,0.070843,已成交,0,54291.13713,3846.147027,--,2024-07-05T14:26:16+08:00
2024-07-05T14:26:19+08:00,OOOOOOOR,459611279380480,459595690762240,得勁合約,BTCUSDT,空,1000,市價平倉,54289.2,0.070843,已成交,1.15379948,54289.03713,3845.998258,--,2024-07-05T14:26:19+08:00
2024-07-05T14:32:23+08:00,OOOOOOOR,461136426393600,461136426393600,普通合約,BTCUSDT,多,1,市價開倉,0,0.000092,已成交,0.00099398,54020.36206,4.96987331,--,2024-07-05T14:32:23+08:00
2024-07-05T14:32:35+08:00,OOOOOOOR,461188174106624,461188174106624,普通合約,BTCUSDT,空,1,市價開倉,0,0.000092,已成交,0.00099387,54014.23796,4.969309892,--,2024-07-05T14:32:35+08:00
2024-07-05T14:32:47+08:00,OOOOOOOR,461235923673088,461136426393600,普通合約,BTCUSDT,多,1,市價平倉,54000.2,0.000092,已成交,0.00099361,54000.362,4.968033304,--,2024-07-05T14:32:47+08:00
2024-07-05T14:32:47+08:00,OOOOOOOR,461235923673089,461188174106624,普通合約,BTCUSDT,空,1,市價平倉,54000.2,0.000092,已成交,0.00099361,54000.038,4.968003496,--,2024-07-05T14:32:47+08:00
2024-07-05T14:37:08+08:00,OOOOOOOR,462331228413952,462331228413952,得勁合約,BTCUSDT,多,500,市價開倉,0,0.040318,已成交,0,53918.16175,2173.872446,--,2024-07-05T14:37:08+08:00
2024-07-05T14:37:14+08:00,OOOOOOOR,462358938570752,462358938570752,得勁合約,BTCUSDT,空,500,市價開倉,0,0.040307,已成交,0,53933.7382,2173.907186,--,2024-07-05T14:37:14+08:00
2024-07-05T14:37:20+08:00,OOOOOOOR,462380237246464,462331228413952,得勁合約,BTCUSDT,多,500,市價平倉,53931.7,0.040318,已成交,0.65232745,53931.8618,2174.424804,--,2024-07-05T14:37:20+08:00
2024-07-05T14:37:20+08:00,OOOOOOOR,462380237246465,462358938570752,得勁合約,BTCUSDT,空,500,市價平倉,53931.7,0.040307,已成交,0.65214556,53931.5382,2173.81851,--,2024-07-05T14:37:20+08:00
2024-07-05T14:39:25+08:00,OOOOOOOR,462906794364928,462906794364928,普通合約,BTCUSDT,多,1,限價開倉,53987,0.000092,已成交,0.00099337,53987,4.966804,--,2024-07-05T14:39:26+08:00
2024-07-05T14:39:34+08:00,OOOOOOOR,462942124597248,462942124597248,普通合約,BTCUSDT,空,1,限價開倉,53987,0.000092,已成交,0.0009935,53994.33802,4.967479098,--,2024-07-05T14:39:34+08:00
2024-07-05T14:39:44+08:00,OOOOOOOR,462986972680192,462906794364928,普通合約,BTCUSDT,多,1,市價平倉,53965.5,0.000092,已成交,0.00099297,53965.6619,4.964840894,--,2024-07-05T14:39:44+08:00
2024-07-05T14:39:44+08:00,OOOOOOOR,462986972680193,462942124597248,普通合約,BTCUSDT,空,1,市價平倉,53965.5,0.000092,已成交,0.00099297,53965.3381,4.964811106,--,2024-07-05T14:39:44+08:00
2024-07-05T15:01:42+08:00,OOOOOOOC,468515681914880,468515681914880,普通合約,BTCUSDT,多,1,市價開倉,0,0.000092,已成交,0.00099885,54284.81411,4.994202898,--,2024-07-05T15:01:42+08:00
2024-07-05T15:01:45+08:00,OOOOOOOC,468526578716672,468515681914880,普通合約,BTCUSDT,多,1,市價平倉,54294.1,0.000092,已成交,0.00099902,54294.26288,4.995072185,--,2024-07-05T15:01:45+08:00
2024-07-05T15:04:43+08:00,OOOOOOOG,469273064165376,469273064165376,得勁合約,BTCUSDT,多,1000,市價開倉,0,0.07098,已成交,0,54186.16256,3846.133818,--,2024-07-05T15:04:43+08:00
2024-07-05T15:04:48+08:00,OOOOOOOG,469294341869568,469294341869568,得勁合約,BTCUSDT,空,1000,市價開倉,0,0.07098,已成交,0,54185.73744,3846.103644,--,2024-07-05T15:04:48+08:00
2024-07-05T15:05:25+08:00,OOOOOOOG,107063400779776,469273064165376,得勁合約,BTCUSDT,多,1000,強制平倉,54135.49815,0.07098,已成交,1.1527613,54135.49815,3842.537659,--,2024-07-05T15:05:25+08:00
2024-07-05T15:07:15+08:00,OOOOOOOG,469911223324672,469294341869568,得勁合約,BTCUSDT,空,1000,市價平倉,54136.1,0.07098,已成交,1.15277066,54135.93759,3842.56885,--,2024-07-05T15:07:15+08:00
2024-07-05T15:08:06+08:00,OOOOOOOG,470124396240896,470124396240896,普通合約,BTCUSDT,多,499,市價開倉,0,0.038457,已成交,0.41596139,54081.36224,2079.806948,--,2024-07-05T15:08:06+08:00
