開倉時間,UID,倉位單號,合約類型,交易對,方向,槓桿,開倉價格,止盈價格,止損價格,強平價格,倉位數量,初始保證金,倉位保證金,開倉手續費,未實現盈虧,資金費,倉位狀態,平倉類型,平倉價格,已實現盈虧,回報率,平倉手續費,平倉時間
2024-08-08T23:28:25+08:00,OOOOOGDV,233645319917568,普通合約,BTCUSDT,多,277,58839.4,59051.5,0,58638.2,1.902927,426.60659235,426.60659235,22.39340765,0,0,已平倉,手動平倉,58638.3,-427.40283916,-95.19,22.31686914,2024-08-08T23:28:40+08:00
2024-08-08T23:27:54+08:00,OOOOOGDV,233514235334656,普通合約,BTCUSDT,多,277,58879.1,58974.8,0,58677.8,2.824936,633.73407535,633.73407535,33.26592465,0,0,已平倉,手動平倉,58677.9,-634.91710282,-95.19,33.15222486,2024-08-08T23:28:08+08:00
2024-08-08T23:15:59+08:00,OOOOOGMK,230516582895616,得勁合約,BTCUSDT,多,1000,58698.1,58874,0,58643.2,13.104871,1000,1000,0,0,0,已平倉,強制平倉,58643.2,-1000,-100,230.55344532,2024-08-08T23:17:31+08:00
2024-08-08T23:06:33+08:00,OOOOOFHC,228141118001152,普通合約,BTCUSDT,多,1,59082.6,354496.8,0,2558.1,0.000084,4.99900741,4.99900741,0.00099259,0,0,已平倉,手動平倉,58964.2,-0.01193333,-0.24,0.0009906,2024-08-08T23:10:06+08:00
2024-08-08T22:38:14+08:00,OOOOOGDV,221015603531776,得勁合約,BTCUSDT,多,600,58439.3,58539.2,0,58347.7,2.610271,300,300,0,0,0,已平倉,手動平倉,58347.8,-284.66728,-94.89,45.69101081,2024-08-08T22:39:30+08:00
2024-08-08T22:33:38+08:00,OOOOOGDV,219860420907008,得勁合約,BTCUSDT,多,600,58213,58505.1,0,58121.7,4.367364,500,500,0,0,0,已平倉,手動平倉,58121.8,-474.44377593,-94.89,76.15168731,2024-08-08T22:37:34+08:00
2024-08-08T22:32:57+08:00,OOOOOGDV,219687561203712,得勁合約,BTCUSDT,多,800,58356.3,58581.9,0,58287.9,5.527779,500,500,0,0,0,已平倉,手動平倉,58288,-474.33392012,-94.87,96.66087564,2024-08-08T22:37:34+08:00
2024-08-08T22:30:21+08:00,OOOOOGDV,219031899066368,得勁合約,BTCUSDT,多,800,58151.9,58359.6,0,58083.7,2.218883,200,200,0,0,0,已平倉,強制平倉,58083.7,-200,-100,38.6642746,2024-08-08T22:30:49+08:00
2024-08-08T22:29:58+08:00,OOOOOGMO,218938131353600,得勁合約,BTCUSDT,多,1000,58148,58206,0,58093.7,2.645769,200,200,0,0,0,已平倉,強制平倉,58093.7,-200,-100,46.11067861,2024-08-08T22:30:46+08:00
2024-08-08T22:27:34+08:00,OOOOOGDV,218332926840832,普通合約,BTCUSDT,多,1,57973.9,347853,0,2899.1,0.172422,9998.00080661,9998.00080661,1.99919339,0,0,已平倉,手動平倉,57983.2,-2.39907681,-0.03,1.99951332,2024-08-08T22:27:43+08:00
2024-08-08T22:27:33+08:00,OOOOOGDV,218327163719680,得勁合約,BTCUSDT,多,800,57977.8,58194.8,0,57909.8,5.563867,500,500,0,0,0,已平倉,手動平倉,57992.5,-15.27636693,-3.06,96.79864362,2024-08-08T22:27:56+08:00
