委託時間,UID,委託單號,倉位單號,合約類型,交易對,方向,槓桿,訂單類型,委託價格,已成交數量,委託狀態,手續費,成交均價,成交金額,取消時間,成交時間
2024-08-12T14:29:33+08:00,OOOOOJXN,98035435667456,98009833635840,得勁合約,BTCUSDT,多,534,市價平倉,58476.2,4.566197,已成交,80.1039144,58476.0245714,267013.0479698529658,--,2024-08-12T14:29:33+08:00
2024-08-12T14:29:27+08:00,OOOOOJXN,98009833635840,98009833635840,得勁合約,BTCUSDT,多,534,市價開倉,0,4.566197,已成交,0,58463.0753887,266953.9194506557739,--,2024-08-12T14:29:27+08:00
2024-08-12T13:43:05+08:00,OOOOOJXG,86340214554624,86311072530432,得勁合約,BTCUSDT,多,534,市價平倉,58484.5,2.549281,已成交,44.72789321,58484.3245465,149092.9773642260665,--,2024-08-12T13:43:05+08:00
2024-08-12T13:42:58+08:00,OOOOOJXG,86311072530432,86311072530432,得勁合約,BTCUSDT,多,534,市價開倉,0,2.549281,已成交,0,58497.2754913,149125.9929617367553,--,2024-08-12T13:42:58+08:00
2024-08-12T10:40:28+08:00,OOOOOJXQ,40383136481280,36760148082688,得勁合約,BTCUSDT,多,1000,強制平倉,58378.14064399,1.316437,已成交,23.05534331,58378.14064399,76851.14433495226363,--,2024-08-12T10:40:28+08:00
2024-08-12T10:26:04+08:00,OOOOOJXQ,36760148082688,36760148082688,得勁合約,BTCUSDT,多,1000,市價開倉,0,1.316437,已成交,0,58432.7752978,76923.0674147099386,--,2024-08-12T10:26:04+08:00
2024-08-10T21:50:45+08:00,OOOOOJQQ,209068807503872,163819205787648,普通合約,BTCUSDT,多,193,強制平倉,60465.11100469,0.014743,已成交,0.17828743,60465.11100469,891.43713154214467,--,2024-08-10T21:50:45+08:00
2024-08-10T20:55:49+08:00,OOOOOJKW,195240427356160,194514867290112,得勁合約,BTCUSDT,多,1000,市價平倉,60749.1,3.800986,已成交,69.27173577,60748.9177527,230905.7858931641622,--,2024-08-10T20:55:48+08:00
2024-08-10T20:52:55+08:00,OOOOOJKW,194514867290112,194514867290112,得勁合約,BTCUSDT,多,1000,市價開倉,0,3.800986,已成交,0,60712.9821384,230769.1951263084624,--,2024-08-10T20:52:55+08:00
2024-08-10T20:31:41+08:00,OOOOOJKW,189168874520576,187635269206016,得勁合約,BTCUSDT,多,993,市價平倉,60841.5,2.515129,已成交,45.9071286,60841.3174755,153023.7619808368395,--,2024-08-10T20:31:41+08:00
2024-08-10T20:25:35+08:00,OOOOOJKW,187635269206016,187635269206016,得勁合約,BTCUSDT,多,993,市價開倉,0,2.515129,已成交,0,60838.3825146,153016.3801755633834,--,2024-08-10T20:25:35+08:00
2024-08-10T20:13:25+08:00,OOOOOJKW,184571140325376,182452837515264,得勁合約,BTCUSDT,多,993,強制平倉,60808.46544125,1.256998,已成交,22.93083584,60808.46544125,76436.1194427203675,--,2024-08-10T20:13:25+08:00
2024-08-10T20:05:00+08:00,OOOOOJKW,182452837515264,182452837515264,得勁合約,BTCUSDT,多,993,市價開倉,0,1.256998,已成交,0,60865.7825968,76508.1669926124064,--,2024-08-10T20:05:00+08:00
2024-08-10T20:04:51+08:00,OOOOOJKW,182414375747584,160174343028736,得勁合約,BTCUSDT,多,1000,市價平倉,60868.1,1.838911,已成交,36.25099026,60867.9173957,111930.6828460440827,--,2024-08-10T20:04:50+08:00
2024-08-10T19:02:16+08:00,OOOOOJQQ,166668584173568,163574401040384,得勁合約,BTCUSDT,多,1000,強制平倉,60739.73679501,0.063262,已成交,1.15275517,60739.73679501,3842.51722912592262,--,2024-08-10T19:02:16+08:00
