開倉時間,UID,倉位單號,合約類型,交易對,方向,槓桿,開倉價格,止盈價格,止損價格,強平價格,倉位數量,初始保證金,倉位保證金,開倉手續費,未實現盈虧,資金費,倉位狀態,平倉類型,平倉價格,已實現盈虧,回報率,平倉手續費,平倉時間
2024/8/12 14:29,OOOOOJXN,9.80098E+13,得勁合約,BTCUSDT,多,534,58463.1,58791.3,0,58360,4.566197,580,580,0,0,0,已平倉,手動平倉,58476.1,-20.97539521,-3.62,80.1039144,2024/8/12 14:29
2024/8/12 13:42,OOOOOJXG,8.63111E+13,得勁合約,BTCUSDT,多,534,58497.3,58825.6,0,58394.1,2.549281,324,324,0,0,0,已平倉,手動平倉,58484.4,-77.74349072,-24,44.72789321,2024/8/12 13:43
2024/8/12 10:26,OOOOOJXQ,3.67601E+13,得勁合約,BTCUSDT,多,1000,58432.8,58611.3,0,58378.2,1.316437,100,100,0,0,0,已平倉,強制平倉,58378.2,-100,-100,23.05534331,2024/8/12 10:40
2024/8/10 20:52,OOOOOJKW,1.94515E+14,得勁合約,BTCUSDT,多,1000,60713,60894.8,0,60656.3,3.800986,300,300,0,0,0,已平倉,手動平倉,60749,67.31903108,22.44,69.27173577,2024/8/10 20:55
2024/8/10 20:25,OOOOOJKW,1.87635E+14,得勁合約,BTCUSDT,多,993,60838.4,61022,0,60781.1,2.515129,200,200,0,0,0,已平倉,手動平倉,60841.4,-38.52532333,-19.27,45.9071286,2024/8/10 20:31
2024/8/10 20:05,OOOOOJKW,1.82453E+14,得勁合約,BTCUSDT,多,993,60865.8,61049.4,0,60808.5,1.256998,100,100,0,0,0,已平倉,強制平倉,60808.5,-100,-100,22.93083584,2024/8/10 20:13
2024/8/10 18:51,OOOOOJQQ,1.63819E+14,普通合約,BTCUSDT,多,193,60763.6,62337.8,0,60465.2,0.014743,4.82083244,4.82083244,0.17916756,0,-0.07013047,已平倉,強制平倉,60465.2,-5.07013047,-101.41,0.17828743,2024/8/10 21:50
2024/8/10 18:49,OOOOOJQQ,1.63574E+14,得勁合約,BTCUSDT,多,1000,60796.6,60976.7,0,60739.8,0.063262,5,5,0,0,-0.10216819,已平倉,強制平倉,60739.8,-5.10216819,-102.05,1.15275517,2024/8/10 19:02
2024/8/10 18:40,OOOOOJQQ,1.61297E+14,得勁合約,BTCUSDT,多,1000,60758.9,60941.1,0,60702.1,0.063301,5,5,0,0,0,已平倉,手動平倉,60797.7,1.29742015,25.95,1.154565,2024/8/10 18:50
2024/8/10 18:39,OOOOOJQQ,1.61038E+14,得勁合約,BTCUSDT,多,1000,60770.6,60950.5,0,60713.8,0.063289,5,5,0,0,0,已平倉,手動平倉,60776.5,-0.78462958,-15.7,1.15394361,2024/8/10 18:40
